"year","SAM","min.val","max.val","dd_mean","dd_sd"
2020,"MAB_NEARSHORE_LT80","19","50",310.056629453387,178.876800817013
1994,"NYB_2_LT80","16.5","50",NA,NA
2001,"NYB_2_LT80","16.5","50",NA,NA
2008,"NYB_2_LT80","16.5","50",NA,NA
2015,"NYB_2_LT80","16.5","50",NA,NA
2022,"NYB_2_LT80","16.5","50",NA,NA
1993,"NYB_2_LT80","16","50",NA,NA
2000,"NYB_2_LT80","16","50",NA,NA
2007,"NYB_2_LT80","16","50",NA,NA
2014,"NYB_2_LT80","16","50",NA,NA
2021,"NYB_2_LT80","16","50",NA,NA
1996,"NYB_2_LT80","17.5","50",NA,NA
2003,"NYB_2_LT80","17.5","50",NA,NA
2010,"NYB_2_LT80","17.5","50",NA,NA
2017,"NYB_2_LT80","17.5","50",NA,NA
1995,"NYB_2_LT80","17","50",NA,NA
2002,"NYB_2_LT80","17","50",NA,NA
2009,"NYB_2_LT80","17","50",NA,NA
2016,"NYB_2_LT80","17","50",NA,NA
2023,"NYB_2_LT80","17","50",48.2294836044312,13.3612698346016
1998,"NYB_2_LT80","18.5","50",NA,NA
2005,"NYB_2_LT80","18.5","50",NA,NA
2012,"NYB_2_LT80","18.5","50",NA,NA
2019,"NYB_2_LT80","18.5","50",153.943662643433,NA
1997,"NYB_2_LT80","18","50",NA,NA
2004,"NYB_2_LT80","18","50",NA,NA
2011,"NYB_2_LT80","18","50",NA,NA
2018,"NYB_2_LT80","18","50",NA,NA
1999,"NYB_2_LT80","19","50",NA,NA
2006,"NYB_2_LT80","19","50",NA,NA
2013,"NYB_2_LT80","19","50",NA,NA
2020,"NYB_2_LT80","19","50",NA,NA
1994,"NYB_9_LT80","16.5","50",NA,NA
2001,"NYB_9_LT80","16.5","50",NA,NA
2008,"NYB_9_LT80","16.5","50",NA,NA
2015,"NYB_9_LT80","16.5","50",69.8701090812683,32.757075361725
2022,"NYB_9_LT80","16.5","50",NA,NA
1993,"NYB_9_LT80","16","50",NA,NA
2000,"NYB_9_LT80","16","50",NA,NA
2007,"NYB_9_LT80","16","50",NA,NA
2014,"NYB_9_LT80","16","50",77.158727645874,19.1348757834026
2021,"NYB_9_LT80","16","50",NA,NA
1996,"NYB_9_LT80","17.5","50",NA,NA
2003,"NYB_9_LT80","17.5","50",NA,NA
2010,"NYB_9_LT80","17.5","50",NA,NA
2017,"NYB_9_LT80","17.5","50",NA,NA
1995,"NYB_9_LT80","17","50",NA,NA
2002,"NYB_9_LT80","17","50",NA,NA
2009,"NYB_9_LT80","17","50",NA,NA
2016,"NYB_9_LT80","17","50",NA,NA
2023,"NYB_9_LT80","17","50",NA,NA
1998,"NYB_9_LT80","18.5","50",NA,NA
2005,"NYB_9_LT80","18.5","50",NA,NA
2012,"NYB_9_LT80","18.5","50",NA,NA
2019,"NYB_9_LT80","18.5","50",112.486567735672,30.0967251096073
1997,"NYB_9_LT80","18","50",NA,NA
2004,"NYB_9_LT80","18","50",NA,NA
2011,"NYB_9_LT80","18","50",NA,NA
2018,"NYB_9_LT80","18","50",NA,NA
1999,"NYB_9_LT80","19","50",130.260868787766,59.7466019229545
2006,"NYB_9_LT80","19","50",NA,NA
2013,"NYB_9_LT80","19","50",NA,NA
2020,"NYB_9_LT80","19","50",60.7392040888468,22.3143378721961
1994,"NYB_LT80","16.5","50",NA,NA
2001,"NYB_LT80","16.5","50",91.1260175704956,83.5932262016698
2008,"NYB_LT80","16.5","50",111.020617675781,110.468065433105
2015,"NYB_LT80","16.5","50",126.660244270607,74.6591580774077
2022,"NYB_LT80","16.5","50",57.8472557067871,NA
1993,"NYB_LT80","16","50",NA,NA
2000,"NYB_LT80","16","50",277.725742340088,251.366250983701
2007,"NYB_LT80","16","50",258.820291519165,40.5131584380609
2014,"NYB_LT80","16","50",489.686984481812,266.162201526313
2021,"NYB_LT80","16","50",38.4344615936279,NA
1996,"NYB_LT80","17.5","50",28.9532918930054,13.6611423015331
