"year","ncell","min.val","max.val","dd_mean","dd_sd"
2006,50,"19","50",233.583303222656,151.583052060343
2007,7,"19","50",107.803431102208,106.352857049025
2008,96,"19","50",205.581477820873,219.058009852435
2009,62,"19","50",284.797513008118,190.404900909757
2010,6,"19","50",45.7920166651408,34.9387785303682
2011,33,"19","50",181.472809300278,158.275088106291
2012,26,"19","50",194.722332514249,211.130257796011
2013,8,"19","50",93.755859375,71.6570817719848
2014,186,"19","50",438.988143459443,334.844464091002
2015,321,"19","50",221.42768852733,231.902816000198
2016,124,"19","50",242.321216890889,222.589548032059
2017,124,"19","50",229.192736579526,209.652330073291
2018,63,"19","50",436.64528223068,315.635396810658
2019,323,"19","50",280.870626975139,241.346028291229
2020,160,"19","50",235.572821414471,176.134702145815
2021,26,"19","50",171.591332582327,186.424773903678
2022,47,"19","50",129.386263015422,125.997064360807
2023,146,"19","50",154.773659902076,152.907843418001
2000,46,"NA","NA",211.52093684155,201.281822316634
2001,92,"NA","NA",252.840847699539,274.326386733994
2002,65,"NA","NA",405.757320316021,295.768139370673
2003,49,"NA","NA",240.256768285012,186.59837669518
2004,44,"NA","NA",261.172931497747,215.176419197194
2005,30,"NA","NA",158.199997075399,141.754711200122
2006,72,"NA","NA",279.513082371818,199.355892632517
2007,18,"NA","NA",256.382585313585,282.314521262007
2008,123,"NA","NA",258.324169127922,262.455795293657
2009,86,"NA","NA",335.744045612424,241.31487550262
2010,16,"NA","NA",114.475608110428,97.5868203324166
2011,59,"NA","NA",268.491959361707,269.546041786877
2012,43,"NA","NA",303.075123853462,282.52768706799
2013,18,"NA","NA",140.910066710578,135.628622335978
2014,217,"NA","NA",507.658672323974,372.024672095756
2015,351,"NA","NA",264.745084789743,291.558478373039
2016,156,"NA","NA",303.414619665879,263.021440919707
2017,154,"NA","NA",288.609450426969,273.358830832021
2018,84,"NA","NA",463.76248772939,330.2540568149
2019,353,"NA","NA",307.940633633319,265.937605056446
2020,191,"NA","NA",293.015089973729,242.19733178558
2021,1,"NA","NA",25,NA
2022,4,"NA","NA",28,10.3923048454133
2023,2,"NA","NA",40,5.65685424949238
